,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial,,
76,1,2,52.77309921,"[56.0, -100.0]",-5,"[108, -109]",0.934098954,1,1,1,-44,12.04159458,64,"[100.0, -100.0]",31,,
77,1,2,61.07372594,"[-144.0, 100.0]",-1,"[-83, 97]",0.934233254,1,1,1,-44,17.2626765,64,"[-100.0, 100.0]",30,,
78,1,2,57.07889277,"[-32.0, -100.0]",-5,"[25, -103]",0.96758202,1,1,1,-32,25.17935662,64,"[0.0, -100.0]",29,,
79,1,2,57.14017851,"[32.0, 0.0]",-1,"[-25, -4]",0.734979505,1,1,1,32,25.3179778,64,"[0.0, 0.0]",28,,
80,1,2,57.07013229,"[-56.0, -100.0]",-5,"[-112, -111]",0.98504673,1,1,1,44,16.2788206,64,"[-100.0, -100.0]",27,,
81,,2,,"[-68.0, 100.0]",-5,,,5,1,-7,32,,64,"[-100.0, 100.0]",26,,
82,1,2,38.20994635,"[68.0, 100.0]",-1,"[106, 104]",0.851094635,1,1,1,-32,7.211102551,64,"[100.0, 100.0]",25,,
83,1,2,43.96589587,"[132.0, 100.0]",0,"[90, 113]",0.850833246,1,1,1,32,16.40121947,64,"[100.0, 100.0]",24,,
84,1,2,57.70615219,"[-56.0, 100.0]",0,"[-113, 109]",0.934285231,1,1,1,44,15.8113883,64,"[-100.0, 100.0]",23,,
85,1,2,48.08326112,"[132.0, -100.0]",-1,"[86, -86]",0.883597041,1,1,1,32,19.79898987,64,"[100.0, -100.0]",22,,
86,1,2,62.12889827,"[-144.0, 0.0]",-1,"[-82, -4]",0.916782064,1,1,1,-44,18.43908891,64,"[-100.0, 0.0]",21,,
87,1,2,57.07013229,"[68.0, -100.0]",-5,"[124, -89]",0.918260866,1,1,1,-32,26.40075756,64,"[100.0, -100.0]",20,,
88,1,2,57.42821606,"[32.0, 0.0]",0,"[-25, 7]",0.833807489,1,1,1,32,25.96150997,64,"[0.0, 0.0]",19,,
89,1,2,62,"[-56.0, 0.0]",-5,"[-118, 0]",0.818079065,1,1,1,44,18,64,"[-100.0, 0.0]",18,,
