,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
246,1.0,6,45.0998891351,"[-44.0, -100.0]",-3.0,"[1, -97]",0.73335400394,1,3.0,3.0,-44.0,3.16227766017,64.0,"[0.0, -100.0]",5
247,-2.0,6,72.2357252334,"[-144.0, -100.0]",0.0,"[-77, -73]",0.750725424063,4,1.0,0.0,-44.0,35.4682957019,64.0,"[-100.0, -100.0]",4
248,1.0,6,43.931765273,"[68.0, 0.0]",-5.0,"[111, -9]",0.784155320365,1,1.0,1.0,-32.0,14.2126704036,64.0,"[100.0, 0.0]",3
249,1.0,6,37.0135110466,"[68.0, 100.0]",-15.0,"[105, 99]",0.834701859574,1,3.0,3.0,-32.0,5.09901951359,64.0,"[100.0, 100.0]",2
250,1.0,6,52.038447325,"[132.0, 100.0]",0.0,"[80, 102]",0.75152821267,1,1.0,1.0,32.0,20.0997512422,64.0,"[100.0, 100.0]",1
251,1.0,6,53.0377224247,"[-56.0, 0.0]",-15.0,"[-109, 2]",0.750371199596,1,3.0,3.0,44.0,9.21954445729,64.0,"[-100.0, 0.0]",0
252,0.0,7,28.6356421266,"[-68.0, 100.0]",-3.0,"[-94, 88]",0.734611365588,3,3.0,0.0,32.0,13.416407865,64.0,"[-100.0, 100.0]",35
253,1.0,7,42.2965719651,"[-68.0, 0.0]",-5.0,"[-110, 5]",0.718421595015,1,1.0,1.0,32.0,11.1803398875,64.0,"[-100.0, 0.0]",34
254,1.0,7,59.8414572015,"[-132.0, 100.0]",-5.0,"[-73, 90]",0.783736800706,1,1.0,1.0,-32.0,28.7923600978,64.0,"[-100.0, 100.0]",33
255,1.0,7,35.1283361405,"[-132.0, 100.0]",-1.0,"[-97, 97]",0.768116673549,1,1.0,1.0,-32.0,4.24264068712,64.0,"[-100.0, 100.0]",32
256,-2.0,7,58.137767415,"[32.0, -100.0]",-1.0,"[-20, -74]",0.700735308696,4,1.0,0.0,32.0,32.8024389337,64.0,"[0.0, -100.0]",31
257,1.0,7,62.5859409133,"[-44.0, 0.0]",-1.0,"[17, -14]",0.766976184939,1,1.0,1.0,-44.0,22.0227155455,64.0,"[0.0, 0.0]",30
258,1.0,7,68.249542123,"[-56.0, -100.0]",-5.0,"[-123, -87]",0.783229649816,1,1.0,1.0,44.0,26.4196896272,64.0,"[-100.0, -100.0]",29
259,1.0,7,65.4904573201,"[-44.0, 100.0]",-5.0,"[21, 92]",0.750919811871,1,1.0,1.0,-44.0,22.4722050542,64.0,"[0.0, 100.0]",28
260,-2.0,7,70.7106781187,"[-32.0, -100.0]",0.0,"[18, -50]",0.767472820258,4,1.0,0.0,-32.0,53.1413210223,64.0,"[0.0, -100.0]",27
261,1.0,7,52.7730992078,"[-44.0, 100.0]",0.0,"[8, 109]",0.801000361134,1,1.0,1.0,-44.0,12.0415945788,64.0,"[0.0, 100.0]",26
262,1.0,7,64.3816744113,"[144.0, 100.0]",-1.0,"[80, 107]",0.800271782398,1,1.0,1.0,44.0,21.1896201004,64.0,"[100.0, 100.0]",25
263,1.0,7,67.007462271,"[44.0, 100.0]",0.0,"[-23, 101]",0.767326503621,1,1.0,1.0,44.0,23.0217288664,64.0,"[0.0, 100.0]",24
264,1.0,7,45.0,"[56.0, 0.0]",0.0,"[101, 0]",0.784254467166,1,1.0,1.0,-44.0,1.0,64.0,"[100.0, 0.0]",23
265,1.0,7,60.1331855135,"[144.0, -100.0]",-15.0,"[84, -96]",0.850563544383,1,3.0,3.0,44.0,16.4924225025,64.0,"[100.0, -100.0]",22
266,1.0,7,65.9696900099,"[144.0, 100.0]",0.0,"[80, 116]",0.81718892993,1,1.0,1.0,44.0,25.6124969497,64.0,"[100.0, 100.0]",21
267,1.0,7,46.0434577329,"[56.0, 0.0]",-5.0,"[102, 2]",0.784176651952,1,1.0,1.0,-44.0,2.82842712475,64.0,"[100.0, 0.0]",20
268,1.0,7,53.1507290637,"[132.0, -100.0]",-5.0,"[79, -104]",0.784410698481,1,1.0,1.0,32.0,21.3775583264,64.0,"[100.0, -100.0]",19
269,1.0,7,39.9249295554,"[68.0, -100.0]",0.0,"[105, -115]",0.784380353551,1,1.0,1.0,-32.0,15.8113883008,64.0,"[100.0, -100.0]",18
270,1.0,7,46.0434577329,"[-132.0, 100.0]",-1.0,"[-86, 102]",0.801061952327,1,1.0,1.0,-32.0,14.1421356237,64.0,"[-100.0, 100.0]",17
271,1.0,7,50.8035431835,"[-32.0, 0.0]",-3.0,"[18, 9]",0.834410728523,1,3.0,3.0,-32.0,20.1246117975,64.0,"[0.0, 0.0]",16
272,,7,,"[32.0, 100.0]",-1.0,,,5,1.0,-7.0,32.0,,64.0,"[0.0, 100.0]",15
273,1.0,7,50.6951674225,"[-44.0, -100.0]",-3.0,"[5, -113]",0.75041356232,1,3.0,3.0,-44.0,13.9283882772,64.0,"[0.0, -100.0]",14
274,1.0,7,43.0116263352,"[-68.0, -100.0]",0.0,"[-109, -87]",0.733877679293,1,1.0,1.0,32.0,15.8113883008,64.0,"[-100.0, -100.0]",13
275,1.0,7,59.1354377679,"[44.0, 0.0]",-1.0,"[-15, -4]",0.817344259911,1,1.0,1.0,44.0,15.5241746963,64.0,"[0.0, 0.0]",12
276,-2.0,7,77.3175271203,"[-56.0, 100.0]",0.0,"[-133, 93]",0.768440853528,4,1.0,0.0,44.0,33.7342555869,64.0,"[-100.0, 100.0]",11
277,1.0,7,63.6396103068,"[44.0, 0.0]",-15.0,"[-19, -9]",0.751057716057,1,3.0,3.0,44.0,21.0237960416,64.0,"[0.0, 0.0]",10
278,1.0,7,59.1354377679,"[144.0, 100.0]",-15.0,"[88, 81]",0.767059408161,1,3.0,3.0,44.0,22.4722050542,64.0,"[100.0, 100.0]",9
279,1.0,7,42.4264068712,"[132.0, 100.0]",-1.0,"[90, 106]",0.784015012625,1,1.0,1.0,32.0,11.6619037897,64.0,"[100.0, 100.0]",8
280,1.0,7,57.8705451849,"[132.0, -100.0]",-3.0,"[77, -82]",0.801728639424,1,3.0,3.0,32.0,29.206163733,64.0,"[100.0, -100.0]",7
281,1.0,7,71.2530701093,"[-144.0, 0.0]",0.0,"[-73, 6]",0.800814986669,1,1.0,1.0,-44.0,27.6586333719,64.0,"[-100.0, 0.0]",6
282,-2.0,7,64.2884126418,"[32.0, -100.0]",0.0,"[-30, -83]",0.817650112756,4,1.0,0.0,32.0,34.4818792991,64.0,"[0.0, -100.0]",5
283,,7,,"[-32.0, -100.0]",-5.0,,,5,1.0,-7.0,-32.0,,64.0,"[0.0, -100.0]",4
284,1.0,7,40.0249921924,"[-32.0, 100.0]",-3.0,"[7, 91]",0.850486630505,1,3.0,3.0,-32.0,11.401754251,64.0,"[0.0, 100.0]",3
285,1.0,7,58.8727441181,"[68.0, -100.0]",-15.0,"[123, -121]",0.817345461692,1,3.0,3.0,-32.0,31.1448230048,64.0,"[100.0, -100.0]",2
286,1.0,7,52.0,"[-144.0, 0.0]",-1.0,"[-92, 0]",0.800976625989,1,1.0,1.0,-44.0,8.0,64.0,"[-100.0, 0.0]",1
287,1.0,7,39.0128184063,"[-44.0, 0.0]",-5.0,"[-5, -1]",0.767002624085,1,1.0,1.0,-44.0,5.09901951359,64.0,"[0.0, 0.0]",0
