	aimDotPos	pokeDist	pokePos	pokeTime	trial
131	[ 128.  145.]	16.9705627485	[ 140.  157.]	1.7330964593	9
132	[ -40.  111.]	5.0	[ -40.  106.]	1.89925294404	10
133	[ 15.  80.]	4.24264068712	[ 18.  77.]	2.33454668173	11
134	[  27.  108.]				12
135	[-132.   69.]	2.2360679775	[-134.   68.]	1.78410176549	13
136	[ -45. -154.]	8.60232526704	[ -40. -147.]	1.96730811428	14
137	[-71. -19.]	8.48528137424	[-77. -13.]	2.58379182278	15
138	[ 50. -63.]	11.7046999107	[ 39. -59.]	2.11739605921	16
139	[ 115.    9.]	10.295630141	[ 110.    0.]	2.4832298028	17
140	[-58.  -8.]	10.0498756211	[-48.  -7.]	1.93403365242	18
141	[ -67.  146.]	8.0622577483	[ -63.  153.]	2.33391339413	19
142	[-95. -29.]	5.65685424949	[-99. -25.]	2.25053405343	20
143	[-23. -11.]	2.0	[-25. -11.]	2.23392489471	21
144	[-89.  21.]				22
145	[-68. -83.]	2.2360679775	[-67. -85.]	1.75078172376	23
146	[-145.   87.]	11.7046999107	[-149.   98.]	2.01731307979	24
147	[-142.  -77.]				25
148	[  15. -129.]				26
149	[-76. -91.]	11.401754251	[-85. -84.]	1.91736895277	27
150	[-127.  145.]	1.0	[-127.  144.]	1.83404515288	28
151	[  5.  53.]	5.09901951359	[  4.  48.]	2.26723557897	29
