"block","pen_x","points","poke_x","poke_y","targ_x","targ_y","time_limit","trial_time"
"5","-37","100","1","102","-5","114","700","441"
"5","-37","100","-95","-74","-69","-71","700","510"
"5","-116","100","-159","75","-148","70","700","511"
"5","-186","100","-153","76","-154","85","700","488"
"5","-133","100","-93","-127","-101","-122","700","529"
"5","-79","100","-129","-17","-111","-15","700","498"
"5","-80","100","-41","150","-48","151","700","470"
"5","24","100","-7","164","-8","157","700","525"
"5","-70","100","-110","3","-102","6","700","493"
"5","39","100","81","143","71","145","700","519"
"5","119","100","158","6","151","11","700","519"
"5","67","100","108","-20","99","-9","700","475"
"5","130","100","97","13","98","0","700","460"
"5","-56","100","-12","-107","-24","-98","700","497"
"5","-163","100","-123","62","-131","67","700","487"
"6","-21","100","22","-131","11","-126","700","505"
"6","58","100","17","89","26","92","700","494"
"6","-180","100","-146","19","-148","22","700","497"
"6","172","100","131","-128","140","-134","700","490"
"6","70","100","102","123","102","119","700","470"
"6","111","100","66","-139","79","-154","700","533"
"6","-172","100","-144","122","-140","126","700","522"
"6","-19","100","-63","56","-51","65","700","529"
"6","-31","100","20","128","1","130","700","450"
"6","-13","100","-57","159","-45","151","700","499"
"6","60","100","100","132","92","141","700","447"
"6","-42","100","-90","-118","-74","-103","700","591"
"6","-78","100","-119","-106","-110","-114","700","585"
"6","-155","100","-100","-141","-123","-148","700","572"
"6","-128","100","-170","-112","-160","-105","700","544"
"6","-62","100","-97","-30","-94","-26","700","507"
"6","-7","100","34","74","25","83","700","441"
"6","-36","100","-85","60","-68","71","700","514"
"6","85","100","112","45","117","61","700","491"
"6","-125","100","-170","47","-157","44","700","529"
"6","-38","100","10","23","-6","24","700","508"
"6","17","100","-23","85","-15","99","700","505"
"6","146","100","106","-73","114","-93","700","474"
"6","-120","0","-55","0","-88","3","700","477"
"6","58","100","93","-14","90","-22","700","488"
"6","168","100","130","113","136","113","700","497"
"6","69","100","115","100","101","113","700","477"
"6","16","100","59","111","48","120","700","442"
"6","133","100","86","-81","101","-88","700","524"
"6","109","100","164","42","141","56","700","529"
"7","76","100","108","-140","108","-138","700","522"
"7","13","100","-32","-47","-19","-41","700","514"
"7","115","100","76","-143","83","-158","700","534"
"7","-155","100","-115","25","-123","34","700","517"
"7","-62","100","-120","-42","-94","-42","700","557"
"7","-98","100","-59","-155","-66","-143","700","588"
"7","-31","100","12","-145","1","-127","700","580"
"7","-114","100","-165","68","-146","83","700","564"
"7","25","0","-40","123","-7","131","700","494"
"7","-122","100","-82","22","-90","40","700","556"
"7","-63","100","-20","-76","-31","-71","700","568"
"7","85","100","47","105","53","116","700","507"
"7","104","100","68","-135","72","-129","700","517"
"7","-50","100","-14","30","-18","26","700","512"
"7","-139","100","-93","-123","-107","-135","700","519"
"7","-25","100","28","-17","7","-29","700","532"
"7","92","100","52","75","60","87","700","478"
"7","26","100","71","152","58","156","700","579"
"7","56","100","23","-33","24","-31","700","515"
"7","83","-700","42","-112","51","-131","700","740"
"7","-50","100","-95","-120","-82","-129","700","547"
"7","-116","100","-144","-68","-148","-66","700","501"
"7","0","100","46","-78","32","-56","700","487"
"7","9","100","-20","-7","-23","0","700","427"
"7","21","100","62","-101","53","-99","700","485"
"7","-121","100","-169","31","-153","42","700","520"
"7","-77","100","-35","48","-45","60","700","459"
"7","-103","100","-61","-152","-71","-142","700","505"
"7","171","100","126","57","139","47","700","466"
"7","112","100","131","58","144","46","700","670"
"8","76","100","113","-114","108","-111","700","497"
"8","163","100","115","-74","131","-87","700","490"
"8","67","100","26","71","35","81","700","445"
"8","60","100","100","62","92","71","700","449"
"8","-110","100","-68","-81","-78","-80","700","533"
"8","163","100","124","-40","131","-24","700","555"
"8","-16","100","-52","-25","-48","-18","700","510"
"8","-95","100","-41","25","-63","43","700","448"
"8","32","100","-8","-158","0","-153","700","539"
"8","-103","100","-68","-127","-71","-130","700","528"
"8","-126","100","-77","16","-94","23","700","492"
"8","178","100","133","85","146","90","700","553"
"8","-38","100","-14","150","-6","153","700","449"
"8","139","100","119","8","107","9","700","444"
"8","112","100","146","-30","144","-30","700","470"
"8","-79","100","-37","-61","-47","-67","700","479"
"8","-59","100","-88","-41","-91","-52","700","541"
"8","187","100","152","-78","155","-64","700","478"
"8","-44","100","-93","3","-76","-4","700","526"
"8","-50","100","-87","38","-82","40","700","454"
"8","-108","100","-151","131","-140","127","700","501"
"8","155","100","105","126","123","123","700","508"
"8","1","100","41","-116","33","-104","700","563"
"8","-44","100","2","108","-12","123","700","462"
"8","1","100","49","29","33","30","700","500"
"8","35","100","-3","-115","3","-112","700","593"
"8","-65","100","-112","33","-97","35","700","574"
"8","101","100","147","-90","133","-95","700","503"
"8","44","100","86","75","76","85","700","455"
"8","26","100","76","-120","58","-113","700","489"
"9","-29","100","-69","-142","-61","-140","700","518"
"9","-76","100","-106","7","-108","8","700","460"
"9","-128","100","-80","48","-96","46","700","432"
"9","-100","100","-140","65","-132","68","700","514"
"9","168","100","116","58","136","55","700","482"
"9","-109","100","-65","-110","-77","-95","700","548"
"9","-73","100","-119","-84","-105","-82","700","548"
"9","79","0","138","108","111","126","700","533"
"9","-185","100","-133","-143","-153","-141","700","565"
"9","-154","100","-117","31","-122","38","700","490"
"9","31","100","-12","50","-1","56","700","447"
"9","112","100","135","-37","144","-56","700","475"
"9","-19","-700","-61","-37","-51","-39","700","724"
"9","-93","100","-134","-126","-125","-143","700","537"
"9","119","100","77","-128","87","-123","700","477"
"9","-56","100","-87","-124","-88","-133","700","523"
"9","96","100","126","71","128","84","700","539"
"9","92","100","128","-64","124","-59","700","478"
"9","188","100","146","103","156","121","700","480"
"9","-83","100","-133","-65","-115","-59","700","550"
"9","11","100","31","-135","43","-124","700","487"
"9","115","100","132","-62","147","-83","700","474"
"9","-184","100","-148","-119","-152","-110","700","547"
"9","6","100","47","80","38","85","700","422"
"9","76","0","132","-25","108","-2","700","433"
"9","117","100","76","42","85","40","700","434"
"9","-89","100","-50","131","-57","149","700","499"
"9","-171","100","-125","-115","-139","-127","700","555"
"9","116","100","76","54","84","60","700","433"
"9","150","100","101","-124","118","-127","700","508"
"10","-38","-700","-77","4","-70","-13","700","889"
"10","-68","100","-100","-20","-100","-23","700","439"
"10","24","0","23","54","56","70","700","385"
"10","-76","100","-33","-160","-44","-155","700","521"
"10","-46","100","6","-141","-14","-126","700","484"
"10","135","100","85","-18","103","-39","700","464"
"10","-142","100","-102","-9","-110","3","700","426"
"10","-53","100","-5","-110","-21","-113","700","462"
"10","-51","100","-11","48","-19","54","700","428"
"10","-113","100","-50","-23","-81","-17","700","385"
"10","103","100","135","11","135","20","700","515"
"10","84","100","115","25","116","33","700","427"
"10","-1","100","-31","-143","-33","-151","700","539"
"10","-1","100","-32","-35","-33","-39","700","429"
"10","113","100","64","-86","81","-92","700","451"
"10","81","100","46","-91","49","-92","700","502"
"10","72","100","43","-46","40","-43","700","437"
"10","75","100","45","12","43","18","700","450"
"10","-57","100","-37","-55","-25","-39","700","443"
"10","-81","100","-110","-85","-113","-92","700","481"
"10","125","100","76","-25","93","-22","700","466"
"10","22","100","68","128","54","113","700","573"
"10","-76","100","-35","112","-44","114","700","436"
"10","-25","100","5","-83","7","-70","700","500"
"10","90","100","48","-144","58","-140","700","516"
"10","89","100","44","-2","57","13","700","419"
"10","-171","100","-138","-107","-139","-99","700","555"
"10","5","100","-28","-70","-27","-62","700","451"
"10","-91","100","-151","-40","-123","-36","700","488"
"10","-163","100","-144","-91","-131","-91","700","635"
