"block","pen_side","pen_val","pen_x","points","poke_x","poke_y","release_time","targ_val","targ_x","targ_y","time_limit","too_slow","too_soon","trial_time"
"6","right","0","-27","100","-63","-58","562","100","-59","-76","700","0","0","562"
"6","left","0","104","0","106","23","515","100","136","10","700","0","0","516"
"6","left","0","-49","100","-22","-37","556","100","-17","-38","700","0","0","556"
"6","left","0","-37","100","13","-145","583","100","-5","-151","700","0","0","583"
"6","right","0","87","100","54","150","522","100","55","156","700","0","0","522"
"6","right","0","73","100","30","-94","581","100","41","-91","700","0","0","581"
"6","right","0","161","100","150","45","601","100","129","34","700","0","0","601"
"6","right","0","40","100","0","69","610","100","8","54","700","0","0","610"
"6","left","0","-152","100","-135","-91","594","100","-120","-106","700","0","0","594"
"6","right","0","73","100","39","-71","585","100","41","-77","700","0","0","585"
"6","right","0","-76","100","-120","1","534","100","-108","-15","700","0","0","534"
"6","left","0","106","100","132","59","523","100","138","47","700","0","0","523"
"6","right","0","13","100","-17","-34","515","100","-19","-35","700","0","0","515"
"6","right","0","183","100","152","-60","573","100","151","-74","700","0","0","573"
"6","right","0","-75","0","-105","129","568","100","-107","97","700","0","0","568"
"6","left","0","-11","100","35","-70","611","100","21","-76","700","0","0","611"
"7","left","0","8","100","12","-106","624","100","40","-110","700","0","0","624"
"7","right","0","-37","100","-72","-41","623","100","-69","-18","700","0","0","623"
"7","left","0","-57","100","-30","28","617","100","-25","44","700","0","0","617"
"7","left","0","116","0","115","-46","545","100","148","-67","700","0","0","545"
"7","left","0","-84","100","-50","112","603","100","-52","141","700","0","0","603"
"7","right","0","142","100","100","-64","553","100","110","-81","700","0","0","553"
"7","right","0","39","100","-3","-57","566","100","7","-73","700","0","0","566"
"7","right","0","129","100","83","125","574","100","97","141","700","0","0","574"
"7","left","0","-13","100","28","104","607","100","19","104","700","0","0","607"
"7","left","0","34","0","61","-109","557","100","66","-145","700","0","0","557"
"7","right","0","-80","100","-112","-2","621","100","-112","2","700","0","0","621"
"7","left","0","-124","100","-76","-78","514","100","-92","-104","700","0","0","514"
