,aimDotPos,pokeDist,pokePos,pokeTime,releaseTime,trial,standardPokePosX,standardPokePosY,absolutePokePosX,absolutePokePosY
200,"[100.0, 0.0]",11.1803398875,"[90.0, -5.0]",0.91398691386,0.132296715863,201,-10.0,-5.0,10.0,-5.0
201,"[-100.0, -100.0]",9.43398113206,"[-95.0, -108.0]",0.948577049654,0.165991188958,202,5.0,-8.0,5.0,-8.0
202,"[-100.0, 100.0]",12.0,"[-100.0, 88.0]",2.1112974612,0.183925780002,203,0.0,-12.0,0.0,-12.0
203,"[-100.0, 0.0]",16.0,"[-84.0, 0.0]",0.898238149006,0.133019615896,204,16.0,0.0,16.0,0.0
204,"[0.0, -100.0]",12.0830459736,"[11.0, -95.0]",1.01431918936,0.249796815682,205,11.0,5.0,11.0,5.0
205,"[-100.0, 0.0]",12.8062484749,"[-90.0, -8.0]",0.981044455431,0.249292949215,206,10.0,-8.0,10.0,-8.0
206,"[100.0, -100.0]",17.7200451467,"[105.0, -117.0]",0.94684731774,0.23217710387,207,5.0,-17.0,5.0,-17.0
207,"[0.0, -100.0]",4.472135955,"[2.0, -96.0]",0.996938641649,0.248419820331,208,2.0,4.0,2.0,4.0
208,"[-100.0, 0.0]",12.3693168769,"[-88.0, -3.0]",1.03050211538,0.248559232801,209,12.0,-3.0,12.0,-3.0
209,"[0.0, 100.0]",15.6524758425,"[7.0, 86.0]",0.930611511227,0.21513547143,210,7.0,-14.0,7.0,-14.0
210,"[0.0, 0.0]",20.0,"[16.0, -12.0]",0.981039948296,0.265570218209,211,16.0,-12.0,16.0,-12.0
211,"[100.0, 0.0]",24.5967477525,"[111.0, -22.0]",0.947025788948,0.23201726051,212,11.0,-22.0,11.0,-22.0
212,"[100.0, -100.0]",4.12310562562,"[96.0, -101.0]",0.930625632871,0.199196817819,213,-4.0,-1.0,4.0,-1.0
213,"[100.0, 100.0]",29.0172362571,"[99.0, 71.0]",2.19369063899,0.199303479865,214,-1.0,-29.0,1.0,-29.0
214,"[100.0, -100.0]",18.8679622641,"[84.0, -110.0]",2.06030476606,0.247531669214,215,-16.0,-10.0,16.0,-10.0
215,"[100.0, 0.0]",18.4390889146,"[112.0, -14.0]",0.880093237851,0.165486720856,216,12.0,-14.0,12.0,-14.0
216,"[-100.0, -100.0]",14.7648230602,"[-93.0, -113.0]",2.17710089404,0.248394581955,217,7.0,-13.0,7.0,-13.0
217,"[100.0, -100.0]",6.32455532034,"[98.0, -106.0]",0.980501528829,0.249191093724,218,-2.0,-6.0,2.0,-6.0
218,"[0.0, 0.0]",13.3416640641,"[-3.0, -13.0]",0.947686795145,0.233645438217,219,-3.0,-13.0,3.0,-13.0
219,"[0.0, -100.0]",25.3179778023,"[4.0, -125.0]",0.964119701181,0.16559999343,220,4.0,-25.0,4.0,-25.0
220,"[-100.0, 100.0]",4.24264068712,"[-97.0, 97.0]",2.16105016973,0.116515501402,221,3.0,-3.0,3.0,-3.0
221,"[-100.0, -100.0]",1.41421356237,"[-101.0, -101.0]",0.96319429297,0.165048654657,222,-1.0,-1.0,1.0,-1.0
222,"[100.0, 0.0]",17.2046505341,"[90.0, -14.0]",0.979907825589,0.182213474065,223,-10.0,-14.0,10.0,-14.0
223,"[-100.0, -100.0]",9.8488578018,"[-104.0, -109.0]",1.04603815638,0.215081990231,224,-4.0,-9.0,4.0,-9.0
224,"[100.0, 100.0]",13.0384048104,"[99.0, 113.0]",1.01463376824,0.265876083635,225,-1.0,13.0,1.0,13.0
225,"[100.0, 100.0]",26.6833281283,"[94.0, 74.0]",0.797615631483,0.132742894813,226,-6.0,-26.0,6.0,-26.0
226,"[0.0, 100.0]",17.4928556845,"[-9.0, 85.0]",0.847114153672,0.148315591738,227,-9.0,-15.0,9.0,-15.0
227,"[0.0, -100.0]",11.1803398875,"[2.0, -89.0]",2.70902822819,0.132659668103,228,2.0,11.0,2.0,11.0
228,"[0.0, 0.0]",24.1867732449,"[-12.0, -21.0]",0.879806301557,0.23180964496,229,-12.0,-21.0,12.0,-21.0
229,"[0.0, -100.0]",16.1245154966,"[2.0, -84.0]",1.29642777424,0.481854337733,230,2.0,16.0,2.0,16.0
